ubigeo,departamento,provincia,distrito,CCODI_UBIGEO,CONTABILIZA,CONT_NORMAL,IMPUGNADA,ERROR_MAT,MESAS_INSTALADAS,ACTAS_PROCESADAS,SOL_NULIDAD,ILEGIBLE,PENDIENTE,OTRAS_OBS,SIN_DATOS,CONT_ANULADA,POR_PROCESAR,EXTRAVIADA,SINIESTRADA,INCOMPLETA,SIN_FIRMA,A_INSTALAR,MESAS_NO_INST,FUSIONADAS,NTOTAL_AUTO,MESAS_HABILES,TOT_CIUDADANOS_VOTARON,ELECTORES_HABIL,ELECTORES_HABIL_50,TOTAL_JEE,ubigeo_inei,departamento_inei,provincia_inei,region,macroregion_inei,iso_3166_2,fips,altitud,date_upd,hour_upd,pct_avance
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,73,73,0,0,73,73,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,73,"13,619","20,819","10,410",0,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-04-28,21:55,99.8955
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,010102,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,114,285,143,0,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-04-28,21:55,99.8955
010103,AMAZONAS,CHACHAPOYAS,BALSAS,010103,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,504,"1,012",506,0,010103,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,859,2021-04-28,21:55,99.8955
010104,AMAZONAS,CHACHAPOYAS,CHETO,010104,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,411,587,294,0,010104,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2143,2021-04-28,21:55,99.8955
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,010105,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,324,732,366,0,010105,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2677,2021-04-28,21:55,99.8955
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,010106,6,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,641,"1,523",762,0,010106,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2803,2021-04-28,21:55,99.8955
010107,AMAZONAS,CHACHAPOYAS,GRANADA,010107,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,289,427,214,0,010107,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,3041,2021-04-28,21:55,99.8955
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,010108,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,309,418,209,0,010108,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2591,2021-04-28,21:55,99.8955
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,010109,15,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,"2,633","3,919","1,960",0,010109,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2869,2021-04-28,21:55,99.8955
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,010110,9,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,"1,578","2,580","1,290",0,010110,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2226,2021-04-28,21:55,99.8955
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,010111,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,625,891,446,0,010111,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2681,2021-04-28,21:55,99.8955
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,010112,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,503,720,360,0,010112,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,1892,2021-04-28,21:55,99.8955
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,010113,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,445,814,407,0,010113,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2210,2021-04-28,21:55,99.8955
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,010114,7,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,"1,277","1,889",945,0,010114,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2405,2021-04-28,21:55,99.8955
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,010115,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,347,591,296,0,010115,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2421,2021-04-28,21:55,99.8955
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,010116,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,243,378,189,0,010116,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,3053,2021-04-28,21:55,99.8955
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,010117,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,358,780,390,0,010117,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,3151,2021-04-28,21:55,99.8955
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,010118,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,201,299,150,0,010118,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2254,2021-04-28,21:55,99.8955
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,010119,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,363,524,262,0,010119,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2339,2021-04-28,21:55,99.8955
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,010120,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,692,"1,260",630,0,010120,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2387,2021-04-28,21:55,99.8955
010121,AMAZONAS,CHACHAPOYAS,SONCHE,010121,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,181,304,152,0,010121,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2089,2021-04-28,21:55,99.8955
010205,AMAZONAS,BAGUA,BAGUA,010205,64,62,0,0,64,64,0,0,0,0,0,2,0,0,0,0,0,64,0,0,0,64,"13,602","18,722","9,361",0,010201,01,0102,AMAZONAS,ORIENTE,PE-AMA,01,408,2021-04-28,21:55,99.8955
010202,AMAZONAS,BAGUA,ARAMANGO,010202,31,31,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,31,"5,572","8,526","4,263",0,010202,01,0102,AMAZONAS,ORIENTE,PE-AMA,01,502,2021-04-28,21:55,99.8955
010203,AMAZONAS,BAGUA,COPALLIN,010203,15,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,"2,873","4,212","2,106",0,010203,01,0102,AMAZONAS,ORIENTE,PE-AMA,01,693,2021-04-28,21:55,99.8955
010204,AMAZONAS,BAGUA,EL PARCO,010204,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,956,"1,303",652,0,010204,01,0102,AMAZONAS,ORIENTE,PE-AMA,01,626,2021-04-28,21:55,99.8955
010206,AMAZONAS,BAGUA,IMAZA,010206,79,78,0,0,79,79,0,0,0,0,0,1,0,0,0,0,0,79,0,0,0,79,"10,930","21,905","10,953",0,010205,01,0102,AMAZONAS,ORIENTE,PE-AMA,01,317,2021-04-28,21:55,99.8955
010201,AMAZONAS,BAGUA,LA PECA,010201,28,27,0,0,28,28,0,0,0,0,0,1,0,0,0,0,0,28,0,0,0,28,"4,605","7,442","3,721",0,010206,01,0102,AMAZONAS,ORIENTE,PE-AMA,01,892,2021-04-28,21:55,99.8955
010301,AMAZONAS,BONGARA,JUMBILLA,010301,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,516,863,432,0,010301,01,0103,AMAZONAS,ORIENTE,PE-AMA,01,2081,2021-04-28,21:55,99.8955
010304,AMAZONAS,BONGARA,CHISQUILLA,010304,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,293,407,204,0,010302,01,0103,AMAZONAS,ORIENTE,PE-AMA,01,2057,2021-04-28,21:55,99.8955
010305,AMAZONAS,BONGARA,CHURUJA,010305,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,236,355,178,0,010303,01,0103,AMAZONAS,ORIENTE,PE-AMA,01,1399,2021-04-28,21:55,99.8955
010302,AMAZONAS,BONGARA,COROSHA,010302,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,498,675,338,0,010304,01,0103,AMAZONAS,ORIENTE,PE-AMA,01,2297,2021-04-28,21:55,99.8955
010303,AMAZONAS,BONGARA,CUISPES,010303,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,422,622,311,0,010305,01,0103,AMAZONAS,ORIENTE,PE-AMA,01,1912,2021-04-28,21:55,99.8955
010306,AMAZONAS,BONGARA,FLORIDA,010306,16,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,"2,823","4,510","2,255",0,010306,01,0103,AMAZONAS,ORIENTE,PE-AMA,01,2251,2021-04-28,21:55,99.8955
010312,AMAZONAS,BONGARA,JAZAN,010312,21,21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,21,"3,845","5,987","2,994",0,010307,01,0103,AMAZONAS,ORIENTE,PE-AMA,01,1342,2021-04-28,21:55,99.8955
010307,AMAZONAS,BONGARA,RECTA,010307,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,184,288,144,0,010308,01,0103,AMAZONAS,ORIENTE,PE-AMA,01,2166,2021-04-28,21:55,99.8955
010308,AMAZONAS,BONGARA,SAN CARLOS,010308,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,321,442,221,0,010309,01,0103,AMAZONAS,ORIENTE,PE-AMA,01,1942,2021-04-28,21:55,99.8955
010309,AMAZONAS,BONGARA,SHIPASBAMBA,010309,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,905,"1,378",689,0,010310,01,0103,AMAZONAS,ORIENTE,PE-AMA,01,1668,2021-04-28,21:55,99.8955
010310,AMAZONAS,BONGARA,VALERA,010310,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,605,872,436,0,010311,01,0103,AMAZONAS,ORIENTE,PE-AMA,01,1928,2021-04-28,21:55,99.8955
010311,AMAZONAS,BONGARA,YAMBRASBAMBA,010311,16,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,"2,658","4,518","2,259",0,010312,01,0103,AMAZONAS,ORIENTE,PE-AMA,01,1887,2021-04-28,21:55,99.8955
010601,AMAZONAS,CONDORCANQUI,NIEVA,010601,68,68,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,68,"8,337","19,091","9,546",0,010401,01,0104,AMAZONAS,ORIENTE,PE-AMA,01,189,2021-04-28,21:55,99.8955
010603,AMAZONAS,CONDORCANQUI,EL CENEPA,010603,34,34,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,34,"4,244","9,319","4,660",0,010402,01,0104,AMAZONAS,ORIENTE,PE-AMA,01,253,2021-04-28,21:55,99.8955
010602,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,010602,36,36,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,36,"4,250","9,863","4,932",0,010403,01,0104,AMAZONAS,ORIENTE,PE-AMA,01,190,2021-04-28,21:55,99.8955
010401,AMAZONAS,LUYA,LAMUD,010401,6,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,"1,076","1,682",841,0,010501,01,0105,AMAZONAS,ORIENTE,PE-AMA,01,2328,2021-04-28,21:55,99.8955
010402,AMAZONAS,LUYA,CAMPORREDONDO,010402,15,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,"3,059","4,413","2,207",0,010502,01,0105,AMAZONAS,ORIENTE,PE-AMA,01,1748,2021-04-28,21:55,99.8955
010403,AMAZONAS,LUYA,COCABAMBA,010403,6,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,454,"1,446",723,0,010503,01,0105,AMAZONAS,ORIENTE,PE-AMA,01,2273,2021-04-28,21:55,99.8955
010404,AMAZONAS,LUYA,COLCAMAR,010404,6,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,"1,012","1,701",851,0,010504,01,0105,AMAZONAS,ORIENTE,PE-AMA,01,2355,2021-04-28,21:55,99.8955
010405,AMAZONAS,LUYA,CONILA,010405,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,965,"1,497",749,0,010505,01,0105,AMAZONAS,ORIENTE,PE-AMA,01,2767,2021-04-28,21:55,99.8955
010406,AMAZONAS,LUYA,INGUILPATA,010406,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,307,491,246,0,010506,01,0105,AMAZONAS,ORIENTE,PE-AMA,01,2380,2021-04-28,21:55,99.8955
