ubigeo,departamento,provincia,distrito,metrica,cantidad,pct,ubigeo_inei,departamento_inei,provincia_inei,region,macroregion_inei,iso_3166_2,fips,altitud,date_upd,hour_upd,pct_avance
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,TOTAL DE VOTOS VÁLIDOS,10948,80.388,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,VOTOS EN BLANCO,1543,11.33,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,VOTOS NULOS,1128,8.283,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,TOTAL DE VOTOS EMITIDOS,13619,100,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,TOTAL DE VOTOS VÁLIDOS,90,78.947,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,VOTOS EN BLANCO,9,7.895,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,VOTOS NULOS,15,13.158,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,TOTAL DE VOTOS EMITIDOS,114,100,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-05-11,09:15,100
010103,AMAZONAS,CHACHAPOYAS,BALSAS,TOTAL DE VOTOS VÁLIDOS,356,70.635,010103,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,859,2021-05-11,09:15,100
010103,AMAZONAS,CHACHAPOYAS,BALSAS,VOTOS EN BLANCO,122,24.206,010103,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,859,2021-05-11,09:15,100
010103,AMAZONAS,CHACHAPOYAS,BALSAS,VOTOS NULOS,26,5.159,010103,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,859,2021-05-11,09:15,100
010103,AMAZONAS,CHACHAPOYAS,BALSAS,TOTAL DE VOTOS EMITIDOS,504,100,010103,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,859,2021-05-11,09:15,100
010104,AMAZONAS,CHACHAPOYAS,CHETO,TOTAL DE VOTOS VÁLIDOS,296,72.019,010104,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2143,2021-05-11,09:15,100
010104,AMAZONAS,CHACHAPOYAS,CHETO,VOTOS EN BLANCO,78,18.978,010104,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2143,2021-05-11,09:15,100
010104,AMAZONAS,CHACHAPOYAS,CHETO,VOTOS NULOS,37,9.002,010104,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2143,2021-05-11,09:15,100
010104,AMAZONAS,CHACHAPOYAS,CHETO,TOTAL DE VOTOS EMITIDOS,411,100,010104,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2143,2021-05-11,09:15,100
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,TOTAL DE VOTOS VÁLIDOS,220,67.901,010105,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2677,2021-05-11,09:15,100
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,VOTOS EN BLANCO,78,24.074,010105,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2677,2021-05-11,09:15,100
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,VOTOS NULOS,26,8.025,010105,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2677,2021-05-11,09:15,100
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,TOTAL DE VOTOS EMITIDOS,324,100,010105,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2677,2021-05-11,09:15,100
