ubigeo,departamento,provincia,distrito,cod_partido,partido,total_votos,nlista,pct_validos,pct_emitidos,candidato,date_upd,hour_upd,pct_avance
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000012,PARTIDO NACIONALISTA PERUANO,175,2,1.69,1.364,OLLANTA MOISES HUMALA TASSO,2021-04-13,11:46,91.0842
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000005,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",106,3,1.024,0.826,MARCO ANTONIO ARANA ZEGARRA,2021-04-13,11:46,91.0842
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000011,PARTIDO MORADO,270,4,2.608,2.105,JULIO ARMANDO GUZMAN CACERES,2021-04-13,11:46,91.0842
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000017,PERU PATRIA SEGURA,34,5,0.328,0.265,RAFAEL GASTON TADEO MILAGROS SANTOS NORMAND,2021-04-13,11:46,91.0842
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000022,VICTORIA NACIONAL,596,6,5.757,4.646,GEORGE PATRICK FORSYTH SOMMER,2021-04-13,11:46,91.0842
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000001,ACCION POPULAR,1245,7,12.025,9.706,YONHY LESCANO ANCIETA,2021-04-13,11:46,91.0842
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000003,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1088,8,10.509,8.482,HERNANDO DE SOTO POLAR,2021-04-13,11:46,91.0842
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000018,PODEMOS PERU,311,9,3.004,2.425,DANIEL BELIZARIO URRESTI ELERA,2021-04-13,11:46,91.0842
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000008,JUNTOS POR EL PERU,1246,10,12.035,9.714,VERONIKA FANNY MENDOZA FRISCH,2021-04-13,11:46,91.0842
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,00000015,PARTIDO POPULAR CRISTIANO - PPC,118,11,1.14,0.92,ALBERTO ISMAEL BEINGOLEA DELGADO,2021-04-13,11:46,91.0842
