ubigeo_departamento,departamento,ubigeo_provincia,provincia,ubigeo_distrito,distrito,total_asistentes,pct_total_asistentes,total_ausentes,pct_total_ausentes,electores_habiles,date_upd,hour_upd,pct_avance
010000,AMAZONAS,010100,CHACHAPOYAS,010102,ASUNCION,114,40,171,60,285,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010103,BALSAS,504,49.802,508,50.198,1012,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010101,CHACHAPOYAS,13619,65.416,7200,34.584,20819,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010104,CHETO,411,70.017,176,29.983,587,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010105,CHILIQUIN,324,44.262,408,55.738,732,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010106,CHUQUIBAMBA,641,42.088,882,57.912,1523,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010107,GRANADA,289,67.681,138,32.319,427,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010108,HUANCAS,309,73.923,109,26.077,418,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010109,LA JALCA,2633,67.186,1286,32.814,3919,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010110,LEIMEBAMBA,1578,61.163,1002,38.837,2580,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010111,LEVANTO,625,70.146,266,29.854,891,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010112,MAGDALENA,503,69.861,217,30.139,720,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010113,MARISCAL CASTILLA,445,54.668,369,45.332,814,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010114,MOLINOPAMPA,1277,67.602,612,32.398,1889,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010115,MONTEVIDEO,347,58.714,244,41.286,591,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010116,OLLEROS,243,64.286,135,35.714,378,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010117,QUINJALCA,358,45.897,422,54.103,780,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010118,SAN FRANCISCO DE DAGUAS,201,67.224,98,32.776,299,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010119,SAN ISIDRO DE MAINO,363,69.275,161,30.725,524,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010120,SOLOCO,692,54.921,568,45.079,1260,2021-04-19,11:49,97.708
010000,AMAZONAS,010100,CHACHAPOYAS,010121,SONCHE,181,59.539,123,40.461,304,2021-04-19,11:49,97.708
010000,AMAZONAS,010200,BAGUA,010202,ARAMANGO,5400,65.296,2870,34.704,8270,2021-04-19,11:49,97.708
010000,AMAZONAS,010200,BAGUA,010205,BAGUA,12271,72.515,4651,27.485,16922,2021-04-19,11:49,97.708
010000,AMAZONAS,010200,BAGUA,010203,COPALLIN,2873,68.21,1339,31.79,4212,2021-04-19,11:49,97.708
010000,AMAZONAS,010200,BAGUA,010204,EL PARCO,956,73.369,347,26.631,1303,2021-04-19,11:49,97.708
010000,AMAZONAS,010200,BAGUA,010206,IMAZA,10314,50.492,10113,49.508,20427,2021-04-19,11:49,97.708
010000,AMAZONAS,010200,BAGUA,010201,LA PECA,4220,61.678,2622,38.322,6842,2021-04-19,11:49,97.708
010000,AMAZONAS,010300,BONGARA,010304,CHISQUILLA,293,71.99,114,28.01,407,2021-04-19,11:49,97.708
010000,AMAZONAS,010300,BONGARA,010305,CHURUJA,236,66.479,119,33.521,355,2021-04-19,11:49,97.708
010000,AMAZONAS,010300,BONGARA,010302,COROSHA,498,73.778,177,26.222,675,2021-04-19,11:49,97.708
010000,AMAZONAS,010300,BONGARA,010303,CUISPES,422,67.846,200,32.154,622,2021-04-19,11:49,97.708
010000,AMAZONAS,010300,BONGARA,010306,FLORIDA,2823,62.594,1687,37.406,4510,2021-04-19,11:49,97.708
010000,AMAZONAS,010300,BONGARA,010312,JAZAN,3845,64.222,2142,35.778,5987,2021-04-19,11:49,97.708
010000,AMAZONAS,010300,BONGARA,010301,JUMBILLA,516,59.791,347,40.209,863,2021-04-19,11:49,97.708
