ubigeo,departamento,provincia,distrito,ELECTORES_HABIL,TOT_CIUDADANOS_VOTARON,POR_CIUDADANOS_VOTARON,POR_ACTAS_CONTABILIZADAS,POR_ACTAS_PROCESADAS,ACTAS_PROCESADAS,POR_PROCESAR,CONTABILIZA,POR_POR_PROCESAR,N_CANDIDATOS,ubigeo_inei,departamento_inei,provincia_inei,region,macroregion_inei,iso_3166_2,fips,altitud,date_upd,hour_upd,pct_avance
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,20819,13619,65.416,100,100,73,0,73,0,0,010101,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2338,2021-04-23,11:47,99.4837
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,285,114,40,100,100,1,0,1,0,0,010102,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2823,2021-04-23,11:47,99.4837
010103,AMAZONAS,CHACHAPOYAS,BALSAS,1012,504,49.802,100,100,4,0,4,0,0,010103,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,859,2021-04-23,11:47,99.4837
010104,AMAZONAS,CHACHAPOYAS,CHETO,587,411,70.017,100,100,2,0,2,0,0,010104,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2143,2021-04-23,11:47,99.4837
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,732,324,44.262,100,100,3,0,3,0,0,010105,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2677,2021-04-23,11:47,99.4837
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,1523,641,42.088,100,100,6,0,6,0,0,010106,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2803,2021-04-23,11:47,99.4837
010107,AMAZONAS,CHACHAPOYAS,GRANADA,427,289,67.681,100,100,2,0,2,0,0,010107,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,3041,2021-04-23,11:47,99.4837
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,418,309,73.923,100,100,2,0,2,0,0,010108,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2591,2021-04-23,11:47,99.4837
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,3919,2633,67.186,100,100,15,0,15,0,0,010109,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2869,2021-04-23,11:47,99.4837
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,2580,1578,61.163,100,100,9,0,9,0,0,010110,01,0101,AMAZONAS,ORIENTE,PE-AMA,01,2226,2021-04-23,11:47,99.4837
